Category: All categories
 
Month,clearstory data: (Worldwide),tableau: (Worldwide)
2004-01,0,49
2004-02,0,49
2004-03,0,51
2004-04,0,53
2004-05,0,50
2004-06,0,48
2004-07,0,35
2004-08,0,44
2004-09,0,52
2004-10,0,54
2004-11,0,51
2004-12,0,50
2005-01,0,55
2005-02,0,59
2005-03,0,59
2005-04,0,54
2005-05,0,54
2005-06,0,47
2005-07,0,38
2005-08,0,35
2005-09,0,48
2005-10,0,59
2005-11,0,57
2005-12,0,53
2006-01,0,58
2006-02,0,58
2006-03,0,57
2006-04,0,57
2006-05,0,59
2006-06,0,63
2006-07,0,40
2006-08,0,36
2006-09,0,59
2006-10,0,57
2006-11,0,60
2006-12,0,54
2007-01,0,57
2007-02,0,55
2007-03,0,58
2007-04,0,50
2007-05,0,57
2007-06,0,54
2007-07,0,44
2007-08,0,43
2007-09,0,58
2007-10,0,62
2007-11,0,63
2007-12,0,56
2008-01,0,62
2008-02,0,56
2008-03,0,60
2008-04,0,53
2008-05,0,58
2008-06,0,54
2008-07,0,38
2008-08,0,59
2008-09,0,56
2008-10,0,60
2008-11,0,61
2008-12,0,53
2009-01,0,59
2009-02,0,59
2009-03,0,59
2009-04,0,55
2009-05,0,58
2009-06,0,53
2009-07,0,40
2009-08,0,42
2009-09,0,58
2009-10,0,61
2009-11,0,63
2009-12,0,53
2010-01,0,61
2010-02,0,66
2010-03,0,61
2010-04,0,55
2010-05,0,62
2010-06,0,61
2010-07,0,38
2010-08,0,42
2010-09,0,57
2010-10,0,59
2010-11,0,64
2010-12,0,54
2011-01,0,60
2011-02,0,57
2011-03,0,58
2011-04,0,51
2011-05,0,57
2011-06,0,48
2011-07,0,37
2011-08,0,40
2011-09,0,55
2011-10,0,54
2011-11,0,61
2011-12,0,53
2012-01,0,59
2012-02,0,54
2012-03,0,56
2012-04,0,54
2012-05,0,58
2012-06,0,54
2012-07,0,45
2012-08,0,63
2012-09,0,60
2012-10,0,59
2012-11,0,59
2012-12,0,54
2013-01,0,59
2013-02,0,60
2013-03,0,56
2013-04,0,56
2013-05,0,59
2013-06,0,54
2013-07,0,41
2013-08,0,42
2013-09,0,61
2013-10,0,59
2013-11,0,66
2013-12,0,59
2014-01,0,65
2014-02,0,78
2014-03,0,62
2014-04,0,64
2014-05,0,62
2014-06,0,74
2014-07,0,54
2014-08,0,53
2014-09,0,66
2014-10,0,66
2014-11,0,70
2014-12,0,61
2015-01,0,73
2015-02,0,70
2015-03,0,74
2015-04,0,70
2015-05,0,70
2015-06,0,64
2015-07,0,55
2015-08,0,57
2015-09,0,76
2015-10,0,74
2015-11,0,80
2015-12,0,72
2016-01,0,84
2016-02,0,81
2016-03,0,83
2016-04,0,78
2016-05,0,81
2016-06,0,90
2016-07,0,59
2016-08,0,100
2016-09,0,83
2016-10,0,80
2016-11,0,87
2016-12,0,73
2017-01,0,86
2017-02,0,83
2017-03,0,88
2017-04,0,77
2017-05,0,82
2017-06,0,75
2017-07,0,66
2017-08,0,68
2017-09,0,85
2017-10,0,87
2017-11,0,96
2017-12,0,90
